label,raw_count,weighted_count,weighted_frequency,top_buckets,representative_papers
Tween 20,32,10.1,0.1738,000 (15); 010 (7); 110 (6),Toosendanin suppresses African swine fever virus replication through upregulating interferon regulatory factor 1 in porcine alveolar macrophage cultures; Evaluation of factors influencing expression and extraction of recombinant bacteriophage endolysins in Escherichia coli; Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids; Incubation Temperature and Period During Denarase Treatment and Microfiltration Affect the Yield of Recombinant Adenoviral Vectors During Downstream Processing; Selective extraction of recombinant membrane proteins from Hansenula polymorpha by pulsed electric field and lytic enzyme pretreatment
Triton X-100,28,7.3,0.1256,000 (15); 010 (5); 100 (4),A triton X-100 assisted PMAxx-qPCR assay for rapid assessment of infectious African swine fever virus; Toosendanin suppresses African swine fever virus replication through upregulating interferon regulatory factor 1 in porcine alveolar macrophage cultures; Evaluation of factors influencing expression and extraction of recombinant bacteriophage endolysins in Escherichia coli; Selective extraction of recombinant membrane proteins from Hansenula polymorpha by pulsed electric field and lytic enzyme pretreatment; Evaluation of recombinant baculovirus clearance during rAAV production in Sf9 cells using a newly developed fluorescent-TCID50 assay
SDS,15,4.8,0.0826,000 (7); 010 (3); 110 (3),Toosendanin suppresses African swine fever virus replication through upregulating interferon regulatory factor 1 in porcine alveolar macrophage cultures; Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids; A new device-mediated miniprep method; Inactivation of various variant types of SARS‑CoV‑2 by indoor‑light‑sensitive TiO2‑based photocatalyst; Isolation and characterization of a Vibrio owensii phage phi50-12
Tween 80,5,3.3,0.0568,010 (3); 110 (2),Inactivating conditions of therapeutic mycobacteriophages; Non-enveloped virus inactivation potency of sodium dodecyl sulfate with citric and glutamic acids
other:alkyldimethylbenzalkonium chloride,2,0.9,0.0155,000 (1); 110 (1),Novel mechanisms of alkyldimethylbenzalkonium chloride in virucidal activity
other:Tyloxapol,1,0.9,0.0155,110 (1),Inactivating conditions of therapeutic mycobacteriophages
other:alkyldimethylbenzalkonium chloride (BAC),1,0.9,0.0155,110 (1),Novel mechanisms of alkyldimethylbenzalkonium chloride in virucidal activity
other:alkyldimethylbenzalkonium chloride (BAC-12),1,0.9,0.0155,110 (1),Novel mechanisms of alkyldimethylbenzalkonium chloride in virucidal activity
other:sodium lauryl sulfate,1,0.5,0.0086,010 (1),Frequent brushing of teeth inhibits the dissemination of the SARS-CoV-2: the biochemical mechanism
other:N-lauroylsarcosine,3,0.3,0.0052,000 (2); 100 (1),Evaluation of factors influencing expression and extraction of recombinant bacteriophage endolysins in Escherichia coli
CTAB,1,0.3,0.0052,100 (1),Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids
CHAPS,2,0.0,0.0,000 (2),Evaluation of factors influencing expression and extraction of recombinant bacteriophage endolysins in Escherichia coli
NP-40,2,0.0,0.0,000 (2),Evaluation of factors influencing expression and extraction of recombinant bacteriophage endolysins in Escherichia coli
N-lauroylsarcosine (Sarkosyl),1,0.0,0.0,000 (1),Evaluation of recombinant baculovirus clearance during rAAV production in Sf9 cells using a newly developed fluorescent-TCID50 assay
other:Polysorbate 80,1,0.0,0.0,000 (1),Influence of cell culture-derived media and environmental contaminants on the effect of feline calicivirus inactivation agents
other:unspecified_detergent,1,0.0,0.0,000 (1),Novel mechanisms of alkyldimethylbenzalkonium chloride in virucidal activity
